"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 10:18:18 GMT 2023","Mon May 22 10:18:23 GMT 2023","4778","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon May 22 10:18:23 GMT 2023","Mon May 22 10:18:25 GMT 2023","2141","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon May 22 10:18:25 GMT 2023","Mon May 22 10:18:27 GMT 2023","1241","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
