"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 07 10:26:31 GMT 2022","Mon Nov 07 10:26:33 GMT 2022","1622","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Nov 07 10:26:27 GMT 2022","Mon Nov 07 10:26:31 GMT 2022","3807","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon Nov 07 10:26:33 GMT 2022","Mon Nov 07 10:26:34 GMT 2022","937","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
