"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 24 10:18:58 GMT 2024","Wed Jan 24 10:19:01 GMT 2024","3084","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Jan 24 10:19:02 GMT 2024","Wed Jan 24 10:19:02 GMT 2024","358","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Jan 24 10:19:01 GMT 2024","Wed Jan 24 10:19:02 GMT 2024","361","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
