"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 17 10:19:03 GMT 2024","Wed Jan 17 10:19:03 GMT 2024","487","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Jan 17 10:19:03 GMT 2024","Wed Jan 17 10:19:04 GMT 2024","474","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Jan 17 10:18:59 GMT 2024","Wed Jan 17 10:19:03 GMT 2024","3231","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
