"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 10:18:10 GMT 2023","Mon May 08 10:18:14 GMT 2023","4167","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon May 08 10:18:16 GMT 2023","Mon May 08 10:18:17 GMT 2023","1211","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon May 08 10:18:14 GMT 2023","Mon May 08 10:18:16 GMT 2023","2024","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
