"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 23 10:16:54 GMT 2023","Wed Aug 23 10:16:55 GMT 2023","429","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Aug 23 10:16:50 GMT 2023","Wed Aug 23 10:16:54 GMT 2023","3664","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Aug 23 10:16:54 GMT 2023","Wed Aug 23 10:16:54 GMT 2023","435","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
