"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 12 10:19:03 GMT 2024","Wed Jun 12 10:19:06 GMT 2024","2905","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Jun 12 10:19:06 GMT 2024","Wed Jun 12 10:19:07 GMT 2024","332","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Jun 12 10:19:07 GMT 2024","Wed Jun 12 10:19:07 GMT 2024","319","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
