"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 22 10:21:21 GMT 2023","Wed Feb 22 10:21:24 GMT 2023","2293","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Wed Feb 22 10:21:16 GMT 2023","Wed Feb 22 10:21:21 GMT 2023","4997","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Wed Feb 22 10:21:24 GMT 2023","Wed Feb 22 10:21:25 GMT 2023","1397","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
