"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 12 10:19:28 GMT 2024","Mon Feb 12 10:19:32 GMT 2024","3742","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon Feb 12 10:19:32 GMT 2024","Mon Feb 12 10:19:33 GMT 2024","508","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Mon Feb 12 10:19:33 GMT 2024","Mon Feb 12 10:19:33 GMT 2024","473","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
