"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 17 10:20:13 GMT 2024","Wed Jul 17 10:20:13 GMT 2024","301","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Jul 17 10:20:10 GMT 2024","Wed Jul 17 10:20:12 GMT 2024","2324","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Wed Jul 17 10:20:12 GMT 2024","Wed Jul 17 10:20:13 GMT 2024","319","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
