"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 02 10:17:32 GMT 2023","Wed Aug 02 10:17:33 GMT 2023","331","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"broken","Wed Aug 02 10:17:33 GMT 2023","Wed Aug 02 10:17:33 GMT 2023","322","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"broken","Wed Aug 02 10:17:27 GMT 2023","Wed Aug 02 10:17:32 GMT 2023","5588","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
