"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 15 10:18:31 GMT 2023","Mon May 15 10:18:36 GMT 2023","5309","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon May 15 10:18:39 GMT 2023","Mon May 15 10:18:40 GMT 2023","1218","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon May 15 10:18:36 GMT 2023","Mon May 15 10:18:39 GMT 2023","2082","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
