"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 03 10:18:20 GMT 2023","Mon Apr 03 10:18:25 GMT 2023","5116","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon Apr 03 10:18:27 GMT 2023","Mon Apr 03 10:18:28 GMT 2023","940","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Apr 03 10:18:25 GMT 2023","Mon Apr 03 10:18:27 GMT 2023","1590","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
