"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 25 18:44:42 GMT 2022","Fri Mar 25 18:44:45 GMT 2022","2499","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Fri Mar 25 18:44:37 GMT 2022","Fri Mar 25 18:44:42 GMT 2022","5283","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Fri Mar 25 18:44:45 GMT 2022","Fri Mar 25 18:44:46 GMT 2022","1445","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
