"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 15 10:19:21 GMT 2023","Wed Nov 15 10:19:22 GMT 2023","507","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Nov 15 10:19:21 GMT 2023","Wed Nov 15 10:19:21 GMT 2023","505","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Nov 15 10:19:18 GMT 2023","Wed Nov 15 10:19:21 GMT 2023","2390","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
