"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 10:26:53 GMT 2022","Mon Jul 18 10:26:55 GMT 2022","2759","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Jul 18 10:26:55 GMT 2022","Mon Jul 18 10:26:57 GMT 2022","1630","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Jul 18 10:26:48 GMT 2022","Mon Jul 18 10:26:53 GMT 2022","4894","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
