"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 28 10:07:28 GMT 2022","Mon Mar 28 10:07:30 GMT 2022","1758","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Mar 28 10:07:30 GMT 2022","Mon Mar 28 10:07:31 GMT 2022","1041","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Mar 28 10:07:23 GMT 2022","Mon Mar 28 10:07:28 GMT 2022","4863","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
