"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 20 10:20:53 GMT 2023","Mon Mar 20 10:20:54 GMT 2023","916","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Mar 20 10:20:48 GMT 2023","Mon Mar 20 10:20:52 GMT 2023","4076","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon Mar 20 10:20:52 GMT 2023","Mon Mar 20 10:20:53 GMT 2023","1560","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
