"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 03 10:18:13 GMT 2024","Wed Jan 03 10:18:14 GMT 2024","304","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Jan 03 10:18:13 GMT 2024","Wed Jan 03 10:18:13 GMT 2024","312","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Jan 03 10:18:11 GMT 2024","Wed Jan 03 10:18:13 GMT 2024","2138","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
