"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 14 10:16:58 GMT 2023","Mon Aug 14 10:16:58 GMT 2023","310","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Mon Aug 14 10:16:55 GMT 2023","Mon Aug 14 10:16:57 GMT 2023","2761","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon Aug 14 10:16:57 GMT 2023","Mon Aug 14 10:16:58 GMT 2023","338","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
