"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 29 10:17:28 GMT 2024","Mon Jan 29 10:17:28 GMT 2024","326","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Mon Jan 29 10:17:26 GMT 2024","Mon Jan 29 10:17:28 GMT 2024","2483","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon Jan 29 10:17:28 GMT 2024","Mon Jan 29 10:17:29 GMT 2024","311","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
