"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 08 10:20:24 GMT 2024","Mon Jul 08 10:20:24 GMT 2024","320","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Mon Jul 08 10:20:24 GMT 2024","Mon Jul 08 10:20:25 GMT 2024","309","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Mon Jul 08 10:20:21 GMT 2024","Mon Jul 08 10:20:24 GMT 2024","2405","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
