"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 10:25:36 GMT 2022","Mon Aug 08 10:25:38 GMT 2022","2680","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Aug 08 10:25:38 GMT 2022","Mon Aug 08 10:25:40 GMT 2022","1589","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Aug 08 10:25:30 GMT 2022","Mon Aug 08 10:25:36 GMT 2022","5118","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
