"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 10:20:35 GMT 2022","Wed Dec 14 10:20:36 GMT 2022","954","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Wed Dec 14 10:20:34 GMT 2022","Wed Dec 14 10:20:35 GMT 2022","1676","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Wed Dec 14 10:20:29 GMT 2022","Wed Dec 14 10:20:34 GMT 2022","4257","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
