"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 14 10:27:22 GMT 2022","Wed Sep 14 10:27:23 GMT 2022","1004","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Wed Sep 14 10:27:20 GMT 2022","Wed Sep 14 10:27:22 GMT 2022","1709","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Wed Sep 14 10:27:16 GMT 2022","Wed Sep 14 10:27:20 GMT 2022","4367","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
