"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 10:18:04 GMT 2023","Mon Apr 10 10:18:06 GMT 2023","1571","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Apr 10 10:18:06 GMT 2023","Mon Apr 10 10:18:07 GMT 2023","899","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Apr 10 10:18:00 GMT 2023","Mon Apr 10 10:18:04 GMT 2023","4061","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
