"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 10:19:59 GMT 2023","Wed Jul 12 10:20:04 GMT 2023","5009","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Wed Jul 12 10:20:04 GMT 2023","Wed Jul 12 10:20:06 GMT 2023","1632","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Wed Jul 12 10:20:06 GMT 2023","Wed Jul 12 10:20:07 GMT 2023","943","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
