"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 06 10:28:39 GMT 2022","Wed Jul 06 10:28:40 GMT 2022","1477","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Wed Jul 06 10:28:36 GMT 2022","Wed Jul 06 10:28:39 GMT 2022","2514","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Wed Jul 06 10:28:30 GMT 2022","Wed Jul 06 10:28:36 GMT 2022","6042","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
