"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 03 09:58:13 GMT 2022","Wed Aug 03 09:58:15 GMT 2022","1782","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Wed Aug 03 09:58:03 GMT 2022","Wed Aug 03 09:58:10 GMT 2022","6571","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Wed Aug 03 09:58:10 GMT 2022","Wed Aug 03 09:58:13 GMT 2022","3046","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
