"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 10:19:22 GMT 2023","Mon Jan 02 10:19:23 GMT 2023","915","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Jan 02 10:19:20 GMT 2023","Mon Jan 02 10:19:22 GMT 2023","1550","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Jan 02 10:19:16 GMT 2023","Mon Jan 02 10:19:20 GMT 2023","4802","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
