"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 29 10:18:15 GMT 2023","Mon May 29 10:18:20 GMT 2023","5509","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Mon May 29 10:18:22 GMT 2023","Mon May 29 10:18:24 GMT 2023","1245","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon May 29 10:18:20 GMT 2023","Mon May 29 10:18:22 GMT 2023","2096","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
