"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 10:18:37 GMT 2023","Wed Apr 12 10:18:39 GMT 2023","2049","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Wed Apr 12 10:18:32 GMT 2023","Wed Apr 12 10:18:37 GMT 2023","5081","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Wed Apr 12 10:18:39 GMT 2023","Wed Apr 12 10:18:40 GMT 2023","1195","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
