"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 04 10:17:26 GMT 2023","Mon Sep 04 10:17:29 GMT 2023","3731","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon Sep 04 10:17:30 GMT 2023","Mon Sep 04 10:17:31 GMT 2023","509","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Mon Sep 04 10:17:29 GMT 2023","Mon Sep 04 10:17:30 GMT 2023","523","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
