"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 07 10:17:27 GMT 2024","Wed Feb 07 10:17:28 GMT 2024","313","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"failed","Wed Feb 07 10:17:28 GMT 2024","Wed Feb 07 10:17:28 GMT 2024","295","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Wed Feb 07 10:17:24 GMT 2024","Wed Feb 07 10:17:27 GMT 2024","2900","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
