"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 25 18:47:57 GMT 2022","Fri Mar 25 18:48:01 GMT 2022","4113","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"passed","Fri Mar 25 18:48:01 GMT 2022","Fri Mar 25 18:48:03 GMT 2022","1706","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Fri Mar 25 18:48:03 GMT 2022","Fri Mar 25 18:48:04 GMT 2022","998","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
