"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 13 10:21:32 GMT 2023","Mon Feb 13 10:21:34 GMT 2023","1564","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"passed","Mon Feb 13 10:21:30 GMT 2023","Mon Feb 13 10:21:32 GMT 2023","2659","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
"passed","Mon Feb 13 10:21:24 GMT 2023","Mon Feb 13 10:21:29 GMT 2023","5550","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
