"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 13 10:19:04 GMT 2024","Mon May 13 10:19:04 GMT 2024","351","","Validating Customer APIs","","Delete Customer data","","Delete Customer data",""
"failed","Mon May 13 10:19:00 GMT 2024","Mon May 13 10:19:03 GMT 2024","3423","","Validating Customer APIs","","Verify Customer data retrieval","","Verify Customer data retrieval",""
"failed","Mon May 13 10:19:03 GMT 2024","Mon May 13 10:19:04 GMT 2024","362","","Validating Customer APIs","","Verify Customer data modification","","Verify Customer data modification",""
